пол,плутон,нептун,уран,сатурн,юпитер,годы в днях
M,23.58.4,12.57.6,29.17.1,3.18.12,23.16.8,29714
M,26.11.4,13.14.6,5.31.2,8.28.12,14.35.8,25741
F,27.24.4,16.15.6,3.6.2,3.31.12,29.28.8,27778
M,23.57.4,11.56.6,1.56.2,8.9.12,19.31.8,23176
M,24.0.4,11.53.6,2.9.2,8.26.12,19.2.8,21858
M,24.55.4,12.1.6,4.31.2,10.13.12,13.59.8,27884
M,27.6.4,16.44.6,2.1.2,4.17.12,6.23.9,29835
M,27.1.4,16.46.6,1.54.2,4.33.12,7.27.9,20216
M,26.44.4,14.4.6,5.21.2,6.46.12,17.7.8,22804
M,24.45.4,14.10.6,27.40.1,27.42.11,20.34.8,18642
M,24.5.4,11.50.6,2.32.2,8.54.12,18.10.8,21820
M,25.7.4,14.26.6,27.30.1,25.49.11,18.11.8,28989
M,24.14.4,13.31.6,28.24.1,0.52.12,22.53.8,21655
M,24.9.4,11.48.6,2.48.2,9.11.12,17.34.8,30024
F,27.15.4,16.37.6,2.22.2,3.48.12,3.48.9,27546
M,24.57.4,14.20.6,27.33.1,26.39.11,19.20.8,19333
M,27.4.4,14.43.6,4.57.2,5.29.12,19.46.8,30657
M,23.52.4,12.6.6,1.16.2,7.10.12,20.53.8,24449
M,24.23.4,11.48.6,3.28.2,9.48.12,16.1.8,28940
M,24.16.4,13.34.6,28.20.1,0.39.12,22.47.8,27658
M,27.12.4,16.40.6,2.15.2,3.56.12,4.41.9,30221
M,25.17.4,14.31.6,27.30.1,25.3.11,16.57.8,20489
M,24.53.4,14.17.6,27.35.1,26.58.11,19.44.8,27811
M,25.13.4,14.29.6,27.30.1,25.22.11,17.29.8,26060
M,27.21.4,15.32.6,4.9.2,4.7.12,24.5.8,26262
F,25.47.4,12.46.6,5.23.2,9.21.12,13.41.8,29119
F,26.50.4,16.46.6,1.42.2,5.15.12,9.47.9,17760
M,24.8.4,11.49.6,2.43.2,9.6.12,17.45.8,26672
M,24.22.4,13.44.6,28.7.1,29.53.11,22.23.8,23953
F,24.3.4,11.51.6,2.22.2,8.42.12,18.33.8,11843
F,23.57.4,12.55.6,29.20.1,3.26.12,23.15.8,30468
M,25.8.4,14.27.6,27.30.1,25.45.11,18.4.8,15561
M,24.24.4,13.46.6,28.5.1,29.45.11,22.17.8,28439
M,27.17.4,16.34.6,2.29.2,3.42.12,3.3.9,28796
